Id_A,SAME_AS,Id_B
18570772,SAME_AS,18780710
18570392,SAME_AS,18780716
18570384,SAME_AS,18780719
18570811,SAME_AS,18780726
18570812,SAME_AS,18780727
18570854,SAME_AS,18780733
18570816,SAME_AS,18780739
18570644,SAME_AS,18780746
18570399,SAME_AS,18780751
18570401,SAME_AS,18780753
18570404,SAME_AS,18780754
18570406,SAME_AS,18780755
18570402,SAME_AS,18780757
18570819,SAME_AS,18780761
18572421,SAME_AS,18780776
18570471,SAME_AS,18780780
18570891,SAME_AS,18780783
18570473,SAME_AS,18780787
18570477,SAME_AS,18780788
18572180,SAME_AS,18780791
18572178,SAME_AS,18780795
18572179,SAME_AS,18780796
18571695,SAME_AS,18780797
18571584,SAME_AS,18780798
18571082,SAME_AS,18780823
18571764,SAME_AS,18780834
18570434,SAME_AS,18780836
18571698,SAME_AS,18780844
18571703,SAME_AS,18780846
18571704,SAME_AS,18780847
18571897,SAME_AS,18780848
18571900,SAME_AS,18780849
18571856,SAME_AS,18780853
18570444,SAME_AS,18780855
18570896,SAME_AS,18780867
18570447,SAME_AS,18780875
18570451,SAME_AS,18780879
18570242,SAME_AS,18780880
18571977,SAME_AS,18780881
18570457,SAME_AS,18780882
18570420,SAME_AS,18780892
18572422,SAME_AS,18780893
18570846,SAME_AS,18780894
18570849,SAME_AS,18780896
18570295,SAME_AS,18780897
18570848,SAME_AS,18780898
18572424,SAME_AS,18780902
18570916,SAME_AS,18780908
18572259,SAME_AS,18780909
18570969,SAME_AS,18780914
18570446,SAME_AS,18780915
18570880,SAME_AS,18780919
18570881,SAME_AS,18780920
18570882,SAME_AS,18780921
18570883,SAME_AS,18780924
18572210,SAME_AS,18780925
18570887,SAME_AS,18780939
18570889,SAME_AS,18780940
18570892,SAME_AS,18780941
18572423,SAME_AS,18780960
18570475,SAME_AS,18780961
18570907,SAME_AS,18780971
18570906,SAME_AS,18780972
18572303,SAME_AS,18780977
18572305,SAME_AS,18780979
18571868,SAME_AS,18780980
18570422,SAME_AS,18780983
18570424,SAME_AS,18780984
18570642,SAME_AS,18780989
18570933,SAME_AS,18780995
18570936,SAME_AS,18780998
18570935,SAME_AS,18780997
18570912,SAME_AS,18781011
18570948,SAME_AS,18781019
18570953,SAME_AS,18781022
18570952,SAME_AS,18781023
18571700,SAME_AS,18781025
18571925,SAME_AS,18781028
18570966,SAME_AS,18781034
18570976,SAME_AS,18781040
18570958,SAME_AS,18781045
18570959,SAME_AS,18781046
18570962,SAME_AS,18781047
18572478,SAME_AS,18781050
18570618,SAME_AS,18781053
18570620,SAME_AS,18781055
18570621,SAME_AS,18781056
18570059,SAME_AS,18781076
18570461,SAME_AS,18781079
18570674,SAME_AS,18781080
18570312,SAME_AS,18781089
18570314,SAME_AS,18781090
18570313,SAME_AS,18781091
18570554,SAME_AS,18781102
18570146,SAME_AS,18781103
18570997,SAME_AS,18781107
18570998,SAME_AS,18781109
18571000,SAME_AS,18781110
18571285,SAME_AS,18781114
18571287,SAME_AS,18781115
18570914,SAME_AS,18781129
18571016,SAME_AS,18781137
18570613,SAME_AS,18781138
18571276,SAME_AS,18781139
18571278,SAME_AS,18781141
18571279,SAME_AS,18781142
18572252,SAME_AS,18781144
18571269,SAME_AS,18781146
18571028,SAME_AS,18781152
18571420,SAME_AS,18781160
18570839,SAME_AS,18781161
18571032,SAME_AS,18781165
18571037,SAME_AS,18781167
18572230,SAME_AS,18781168
18571112,SAME_AS,18781184
18570987,SAME_AS,18781188
18571752,SAME_AS,18781194
18571096,SAME_AS,18781195
18571879,SAME_AS,18781203
18570065,SAME_AS,18781206
18571095,SAME_AS,18781207
18570160,SAME_AS,18781209
18570161,SAME_AS,18781210
18572185,SAME_AS,18781221
18571088,SAME_AS,18781225
18571185,SAME_AS,18781231
18571177,SAME_AS,18781232
18572325,SAME_AS,18781237
18571241,SAME_AS,18781238
18571242,SAME_AS,18781246
18571231,SAME_AS,18781251
18570091,SAME_AS,18781257
18571084,SAME_AS,18781253
18570087,SAME_AS,18781254
18571094,SAME_AS,18781259
18571093,SAME_AS,18781260
18572000,SAME_AS,18781264
18572002,SAME_AS,18781269
18571301,SAME_AS,18781275
18571036,SAME_AS,18781276
18572167,SAME_AS,18781278
18571086,SAME_AS,18781282
18571148,SAME_AS,18781287
18571106,SAME_AS,18781291
18571172,SAME_AS,18781295
18570051,SAME_AS,18781307
18571136,SAME_AS,18781310
18571137,SAME_AS,18781312
18571060,SAME_AS,18781335
18571956,SAME_AS,18781343
18572232,SAME_AS,18781344
18571202,SAME_AS,18781359
18571846,SAME_AS,18781364
18572275,SAME_AS,18781367
18570940,SAME_AS,18781373
18572141,SAME_AS,18781376
18572476,SAME_AS,18781378
18571734,SAME_AS,18782741
18571617,SAME_AS,18781399
18571618,SAME_AS,18781400
18571201,SAME_AS,18781401
18571041,SAME_AS,18781406
18571043,SAME_AS,18781408
18571537,SAME_AS,18781410
18571123,SAME_AS,18781412
18571103,SAME_AS,18781415
18571105,SAME_AS,18781417
18570617,SAME_AS,18781426
18571889,SAME_AS,18781440
18570093,SAME_AS,18781448
18570786,SAME_AS,18781461
18572161,SAME_AS,18781463
18572162,SAME_AS,18781464
18570576,SAME_AS,18781470
18571272,SAME_AS,18781481
18570119,SAME_AS,18781484
18570121,SAME_AS,18781488
18570122,SAME_AS,18781489
18571741,SAME_AS,18781491
18571671,SAME_AS,18781498
18572236,SAME_AS,18781506
18571588,SAME_AS,18781507
18572235,SAME_AS,18781509
18572195,SAME_AS,18781517
18571587,SAME_AS,18781530
18571583,SAME_AS,18781531
18572292,SAME_AS,18781538
18571004,SAME_AS,18781542
18571264,SAME_AS,18781543
18572208,SAME_AS,18781562
18572213,SAME_AS,18781564
18572262,SAME_AS,18781568
18571549,SAME_AS,18781569
18571396,SAME_AS,18781589
18572344,SAME_AS,18781592
18570915,SAME_AS,18781598
18572341,SAME_AS,18781600
18572346,SAME_AS,18781604
18571921,SAME_AS,18781605
18571268,SAME_AS,18781615
18570595,SAME_AS,18781616
18570395,SAME_AS,18781617
18570361,SAME_AS,18781624
18572280,SAME_AS,18781628
18572281,SAME_AS,18781629
18572283,SAME_AS,18781631
18570543,SAME_AS,18781633
18570462,SAME_AS,18781634
18571930,SAME_AS,18781643
18571248,SAME_AS,18781650
18571251,SAME_AS,18781652
18572268,SAME_AS,18781653
18571252,SAME_AS,18781654
18572394,SAME_AS,18781657
18572393,SAME_AS,18781659
18572037,SAME_AS,18781661
18572311,SAME_AS,18781669
18572313,SAME_AS,18781671
18571666,SAME_AS,18781685
18572302,SAME_AS,18781686
18572411,SAME_AS,18781688
18572316,SAME_AS,18781689
18572321,SAME_AS,18781691
18572348,SAME_AS,18781695
18572353,SAME_AS,18781698
18572357,SAME_AS,18781700
18572363,SAME_AS,18781712
18572337,SAME_AS,18781716
18572367,SAME_AS,18781717
18570474,SAME_AS,18781727
18572377,SAME_AS,18781729
18571670,SAME_AS,18781735
18572392,SAME_AS,18781737
18572201,SAME_AS,18781744
18572045,SAME_AS,18781748
18571224,SAME_AS,18781751
18572009,SAME_AS,18781754
18572413,SAME_AS,18781756
18572414,SAME_AS,18781762
18572416,SAME_AS,18781764
18572231,SAME_AS,18781769
18571919,SAME_AS,18781776
18571775,SAME_AS,18781784
18571777,SAME_AS,18781787
18571742,SAME_AS,18781789
18571744,SAME_AS,18781791
18571153,SAME_AS,18781795
18571594,SAME_AS,18781806
18571597,SAME_AS,18781811
18571791,SAME_AS,18781812
18571713,SAME_AS,18781813
18571717,SAME_AS,18781815
18571716,SAME_AS,18781816
18572433,SAME_AS,18781819
18570664,SAME_AS,18781825
18570663,SAME_AS,18781827
18571565,SAME_AS,18781829
18571940,SAME_AS,18781836
18571393,SAME_AS,18781837
18571773,SAME_AS,18781840
18571782,SAME_AS,18781856
18571954,SAME_AS,18781858
18571395,SAME_AS,18781868
18571334,SAME_AS,18781871
18571881,SAME_AS,18781872
18571939,SAME_AS,18781876
18570951,SAME_AS,18781881
18571111,SAME_AS,18781882
18572445,SAME_AS,18781888
18572254,SAME_AS,18781889
18572255,SAME_AS,18781892
18571640,SAME_AS,18781893
18571906,SAME_AS,18781899
18571907,SAME_AS,18781900
18571905,SAME_AS,18781901
18571747,SAME_AS,18781913
18571751,SAME_AS,18781915
18570043,SAME_AS,18781916
18570888,SAME_AS,18781920
18571017,SAME_AS,18781921
18571738,SAME_AS,18781930
18571758,SAME_AS,18781931
18571760,SAME_AS,18781933
18570147,SAME_AS,18781938
18572251,SAME_AS,18781946
18571722,SAME_AS,18781947
